date,mounts,downlink_length
2017/11/1 2:00,0,0
2017/11/1 7:14,10988,17090
2017/11/1 7:15,9766,0
2017/11/1 7:16,17090,25636
2017/11/1 7:22,0,0
2017/11/1 7:25,0,0
2017/11/1 7:28,3662,0
2017/11/1 7:29,3662,0
2017/11/1 7:30,14648,3663
2017/11/1 7:32,0,1
2017/11/1 7:34,0,0
2017/11/1 7:38,0,0
2017/11/1 7:40,0,18310
2017/11/1 7:41,12207,31738
2017/11/1 7:42,31739,1
2017/11/1 7:47,41505,39063
2017/11/1 7:48,41503,29296
2017/11/1 7:51,19532,7324
2017/11/1 7:54,0,1
2017/11/1 7:55,0,14649
2017/11/1 7:56,36621,7324
2017/11/1 7:58,0,17091
2017/11/1 8:00,19530,7325
2017/11/1 8:02,19532,65918
2017/11/1 8:04,58594,0
2017/11/1 8:05,51270,34178
2017/11/1 8:08,104979,21972
2017/11/1 8:09,31739,29298
2017/11/1 8:10,3662,21973
2017/11/1 8:11,0,25635
2017/11/1 8:12,73245,58593
2017/11/1 8:13,14648,0
2017/11/1 8:14,0,0
2017/11/1 8:16,78125,2
2017/11/1 8:17,14648,2
2017/11/1 8:19,0,0
2017/11/1 8:20,0,0
2017/11/1 8:21,12208,25635
2017/11/1 8:22,21972,0
2017/11/1 8:23,0,3663
2017/11/1 8:24,0,37842
2017/11/1 8:25,18311,57373
2017/11/1 8:26,25635,19532
2017/11/1 8:27,117192,97656
2017/11/1 8:28,81786,34181
2017/11/1 8:29,29297,18310
2017/11/1 8:30,0,3662
2017/11/1 8:31,31739,21973
2017/11/1 8:32,95219,58596
2017/11/1 8:33,73243,29297
2017/11/1 8:34,42725,1
2017/11/1 8:35,21973,12208
2017/11/1 8:36,17090,21974
2017/11/1 8:37,18311,29299
2017/11/1 8:38,80571,86672
2017/11/1 8:39,1,21973
2017/11/1 8:40,42726,51271
2017/11/1 8:41,23194,58594
2017/11/1 8:42,36624,17091
2017/11/1 8:43,69582,19531
2017/11/1 8:44,70803,29298
2017/11/1 8:45,41505,84229
2017/11/1 8:46,39063,18311
2017/11/1 8:47,78126,19535
2017/11/1 8:48,64698,50048
2017/11/1 8:49,2,81788
2017/11/1 8:50,29297,3662
2017/11/1 8:51,67138,101323
2017/11/1 8:52,153812,35402
2017/11/1 8:53,42725,36621
2017/11/1 8:54,47608,35403
2017/11/1 8:55,0,67139
2017/11/1 8:56,79347,90335
2017/11/1 8:57,130616,76910
2017/11/1 8:58,108644,96439
2017/11/1 8:59,158693,125735
2017/11/1 9:00,168458,150153
2017/11/1 9:01,18316,242
2017/11/1 9:02,32960,20752
2017/11/1 9:03,48830,79356
2017/11/1 9:04,114749,54934
2017/11/1 9:05,53713,75762
2017/11/1 9:06,75692,27997
2017/11/1 9:07,74480,12073
2017/11/1 9:08,25637,37361
2017/11/1 9:09,70804,40789
2017/11/1 9:10,51280,61518
2017/11/1 9:11,53725,80113
2017/11/1 9:12,29313,39510
2017/11/1 9:13,106214,66643
2017/11/1 9:14,0,67138
2017/11/1 9:15,35413,34931
2017/11/1 9:16,91561,59356
2017/11/1 9:17,46391,100098
2017/11/1 9:18,63479,87947
2017/11/1 9:19,36631,120841
2017/11/1 9:20,10,30704
2017/11/1 9:21,48838,25709
2017/11/1 9:22,156250,59819
2017/11/1 9:23,40286,128174
2017/11/1 9:24,131840,238043
2017/11/1 9:25,25637,118412
2017/11/1 9:26,45167,43947
2017/11/1 9:27,144045,59817
2017/11/1 9:28,213627,266123
2017/11/1 9:29,89114,63478
2017/11/1 9:30,70802,69583
2017/11/1 9:31,80573,95217
2017/11/1 9:32,140383,139164
2017/11/1 9:33,23197,166017
2017/11/1 9:34,61037,30521
2017/11/1 9:35,198977,69586
2017/11/1 9:36,140384,91555
2017/11/1 9:37,112308,142825
2017/11/1 9:38,19531,43948
2017/11/1 9:39,126954,140383
2017/11/1 9:40,126954,80572
2017/11/1 9:41,186770,98881
2017/11/1 9:42,126956,207528
2017/11/1 9:43,69582,98881
2017/11/1 9:44,107424,107425
2017/11/1 9:45,91551,21975
2017/11/1 9:46,129395,52493
2017/11/1 9:47,153814,63480
2017/11/1 9:48,42726,74463
2017/11/1 9:49,119635,112307
2017/11/1 9:50,39065,43946
2017/11/1 9:51,53711,137943
2017/11/1 9:52,78128,78127
2017/11/1 9:53,104981,92776
2017/11/1 9:54,133058,167240
2017/11/1 9:55,322269,328375
2017/11/1 9:56,76907,140381
2017/11/1 9:57,197756,169681
2017/11/1 9:58,56157,173343
2017/11/1 9:59,216066,240484
2017/11/1 10:00,83029,27471
2017/11/1 10:01,82,7013
2017/11/1 10:02,51,6473
2017/11/1 10:03,74,6520
2017/11/1 10:04,50,7000
2017/11/1 10:05,53,6628
2017/11/1 10:06,91,11961
2017/11/1 10:07,77,5033
2017/11/1 10:08,74,12093
2017/11/1 10:09,60,9047
2017/11/1 10:10,72,8233
2017/11/1 10:11,80,7819
2017/11/1 10:12,113,11007
2017/11/1 10:13,65,11628
2017/11/1 10:14,66,10716
2017/11/1 10:15,92,10603
2017/11/1 10:16,126,12184
2017/11/1 10:17,94,11013
2017/11/1 10:18,111,16159
2017/11/1 10:19,96,14980
2017/11/1 10:20,41,7606
2017/11/1 10:21,73,12011
2017/11/1 10:22,30,3189
2017/11/1 10:23,41,5349
2017/11/1 10:24,27,3084
2017/11/1 10:25,39,5055
2017/11/1 10:26,22,1927
2017/11/1 10:27,29,4550
2017/11/1 10:28,15,1464
2017/11/1 10:29,9,1229
2017/11/1 10:30,20,2773
2017/11/1 10:31,12,1507
2017/11/1 10:32,27,2121
2017/11/1 10:33,10,1785
2017/11/1 10:34,13,1537
2017/11/1 10:35,15,2241
2017/11/1 10:36,23,1140
2017/11/1 10:37,20,2986
2017/11/1 10:38,25,2086
2017/11/1 10:39,27,1712
2017/11/1 10:40,13,3870
2017/11/1 10:41,10,3417
2017/11/1 10:42,12,2327
2017/11/1 10:43,28,4218
2017/11/1 10:44,14,1088
2017/11/1 10:45,40,1418
2017/11/1 10:46,9,1365
2017/11/1 10:47,26,2347
2017/11/1 10:48,19,3114
2017/11/1 10:49,42,5096
2017/11/1 10:50,23,5553
2017/11/1 10:51,46,4739
2017/11/1 10:52,33,4522
2017/11/1 10:53,38,20868
2017/11/1 10:54,29337,21485
2017/11/1 10:55,106244,57334
2017/11/1 10:56,58652,109051
2017/11/1 10:57,48921,108133
2017/11/1 10:58,101449,18130
2017/11/1 10:59,183273,67951
2017/11/1 11:00,62367,143337
2017/11/1 11:01,127071,166328
2017/11/1 11:02,144199,226496
2017/11/1 11:03,99019,75073
2017/11/1 11:04,160094,173472
2017/11/1 11:05,171116,227351
2017/11/1 11:06,146665,136317
2017/11/1 11:07,128412,164840
2017/11/1 11:08,84447,114601
2017/11/1 11:09,226010,335925
2017/11/1 11:10,156428,236762
2017/11/1 11:11,168680,107303
2017/11/1 11:12,234622,118198
2017/11/1 11:13,155184,166681
2017/11/1 11:14,85620,105128
2017/11/1 11:15,82026,165775
2017/11/1 11:16,201614,203281
2017/11/1 11:17,158865,200651
2017/11/1 11:18,112481,162124
2017/11/1 11:19,167443,225128
2017/11/1 11:20,206506,480826
2017/11/1 11:21,180904,258966
2017/11/1 11:22,193160,146537
2017/11/1 11:23,193088,357427
2017/11/1 11:24,106372,139496
2017/11/1 11:25,127176,207979
2017/11/1 11:26,69786,303258
2017/11/1 11:27,150328,127435
2017/11/1 11:28,93013,135184
2017/11/1 11:29,138181,267747
2017/11/1 11:30,24648,64557
2017/11/1 11:31,64962,174141
2017/11/1 11:32,179636,286821
2017/11/1 11:33,157700,185056
2017/11/1 11:34,199213,317760
2017/11/1 11:35,132042,155458
2017/11/1 11:36,476224,189781
2017/11/1 11:37,185689,239376
2017/11/1 11:38,144264,209872
2017/11/1 11:39,199179,174388
2017/11/1 11:40,206469,211045
2017/11/1 11:41,179641,185308
2017/11/1 11:42,245550,229786
2017/11/1 11:43,90563,78568
2017/11/1 11:44,145463,129271
2017/11/1 11:45,180858,287432
2017/11/1 11:46,218720,292518
2017/11/1 11:47,300469,257591
2017/11/1 11:48,67265,83125
2017/11/1 11:49,141788,83436
2017/11/1 11:50,112484,89699
2017/11/1 11:51,262687,242948
2017/11/1 11:52,60023,255503
2017/11/1 11:53,116155,80384
2017/11/1 11:54,123485,146966
2017/11/1 11:55,107638,272220
2017/11/1 11:56,228471,205313
2017/11/1 11:57,252949,317698
2017/11/1 11:58,79582,129011
2017/11/1 11:59,204054,219277
2017/11/1 12:00,156486,329706
2017/11/1 12:01,38081,127479
2017/11/1 12:02,141797,172758
2017/11/1 12:03,107658,110817
2017/11/1 12:04,164975,211141
2017/11/1 12:05,252916,91101
2017/11/1 12:06,218628,174116
2017/11/1 12:07,186925,181679
2017/11/1 12:08,40475,29935
2017/11/1 12:09,102758,107393
2017/11/1 12:10,66126,74571
2017/11/1 12:11,263819,227210
2017/11/1 12:12,169843,111515
2017/11/1 12:13,149057,106644
2017/11/1 12:14,70977,287474
2017/11/1 12:15,324865,329307
2017/11/1 12:16,110027,217498
2017/11/1 12:17,82017,158790
2017/11/1 12:18,162507,214621
2017/11/1 12:19,168579,238232
2017/11/1 12:20,172307,153454
2017/11/1 12:21,95371,130326
2017/11/1 12:22,74650,188650
2017/11/1 12:23,149073,111538
2017/11/1 12:24,153997,117649
2017/11/1 12:25,207682,219485
2017/11/1 12:26,95403,146777
2017/11/1 12:27,237038,267804
2017/11/1 12:28,125914,180204
2017/11/1 12:29,230943,164272
2017/11/1 12:30,33147,18079
2017/11/1 12:31,189,21156
2017/11/1 12:32,178,17613
2017/11/1 12:33,199,14616
2017/11/1 12:34,169,21118
2017/11/1 12:35,92,9806
2017/11/1 12:36,109,11280
2017/11/1 12:37,99,13939
2017/11/1 12:38,123,12794
2017/11/1 12:39,131,18727
2017/11/1 12:40,117,23504
2017/11/1 12:41,155,16201
2017/11/1 12:42,154,21042
2017/11/1 12:43,109,12064
2017/11/1 12:44,151,18538
2017/11/1 12:45,152,19115
2017/11/1 12:46,138,15775
2017/11/1 12:47,148,15593
2017/11/1 12:48,115,15900
2017/11/1 12:49,171,20344
2017/11/1 12:50,79,11507
2017/11/1 12:51,39,4464
2017/11/1 12:52,21,4666
2017/11/1 12:53,21,3744
2017/11/1 12:54,32,3772
2017/11/1 12:55,43,3330
2017/11/1 12:56,30,7991
2017/11/1 12:57,84,4128
2017/11/1 12:58,94,7858
2017/11/1 12:59,91,7836
2017/11/1 13:00,61,10383
2017/11/1 13:01,69,10296
2017/11/1 13:02,99,10142
2017/11/1 13:03,98,7381
2017/11/1 13:04,109,11514
2017/11/1 13:05,95,10190
2017/11/1 13:06,78,7694
2017/11/1 13:07,73,10358
2017/11/1 13:08,109,13986
2017/11/1 13:09,137,12764
2017/11/1 13:10,92,10158
2017/11/1 13:11,94,11861
2017/11/1 13:12,74,10803
2017/11/1 13:13,59,10639
2017/11/1 13:14,92,11166
2017/11/1 13:15,118,14096
2017/11/1 13:16,128,15857
2017/11/1 13:17,171,16650
2017/11/1 13:18,89,11393
2017/11/1 13:19,97,10291
2017/11/1 13:20,90,15829
2017/11/1 13:21,58,9933
2017/11/1 13:22,79,9311
2017/11/1 13:23,72,11175
2017/11/1 13:24,77,6543
2017/11/1 13:25,73,5566
2017/11/1 13:26,53,8719
