date,mounts
2017/11/9 13:30,55
2017/11/9 13:31,41
2017/11/9 13:32,10
2017/11/9 13:33,0
2017/11/9 13:34,4895
2017/11/9 13:35,23207
2017/11/9 13:36,7338
2017/11/9 13:37,21
2017/11/9 13:38,42
2017/11/9 13:39,29316
2017/11/13 11:19,276141
2017/11/13 11:18,139419
2017/11/23 15:21,61204
2017/11/23 15:20,115
2017/11/23 15:23,59946
2017/11/23 15:22,62390
2017/11/23 15:25,75808
2017/11/23 15:24,37952
2017/11/23 15:27,35540
2017/11/23 15:26,31834
2017/11/23 15:29,19638
2017/11/23 15:28,70940
2017/11/4 14:41,1
2017/11/4 14:40,32959
2017/11/4 14:42,3
2017/11/4 14:45,0
2017/11/4 14:47,12212
2017/11/4 14:46,28076
2017/11/4 14:49,2
2017/11/4 14:48,5
2017/11/25 19:34,1
2017/11/25 19:35,14649
2017/11/25 19:36,3
2017/11/25 19:37,2
2017/11/25 19:30,0
2017/11/25 19:32,5
2017/11/25 19:33,1
2017/11/25 19:38,0
2017/11/25 19:39,2
2017/11/25 17:03,19
2017/11/25 17:02,24
2017/11/25 17:01,8
2017/11/25 17:00,18
2017/11/25 17:07,5
2017/11/25 17:06,14659
2017/11/25 17:05,9
2017/11/25 17:04,11
2017/11/25 17:09,0
2017/11/25 17:08,18312
2017/11/4 18:16,0
2017/11/4 18:17,10
2017/11/4 18:14,0
2017/11/4 18:15,0
2017/11/4 18:12,18
2017/11/4 18:13,4
2017/11/4 18:10,6
2017/11/4 18:11,2
2017/11/4 18:18,0
2017/11/21 21:02,1
2017/11/21 21:03,51272
2017/11/21 21:00,1
2017/11/21 21:01,7
2017/11/21 21:06,11
2017/11/21 21:07,26868
2017/11/21 21:04,12213
2017/11/21 21:05,29320
2017/11/21 21:08,32980
2017/11/21 21:09,11
2017/11/16 11:10,83243
2017/11/16 11:11,150321
2017/11/16 11:12,152798
2017/11/16 11:13,151569
2017/11/16 11:14,107693
2017/11/16 11:15,138186
2017/11/16 11:16,102782
2017/11/16 11:17,36842
2017/11/16 11:18,117336
2017/11/16 11:19,156483
2017/11/25 15:03,1
2017/11/25 15:02,8
2017/11/25 15:05,10
2017/11/25 15:04,2
2017/11/25 15:07,35
2017/11/25 15:06,34
2017/11/14 14:37,216185
2017/11/14 14:36,55026
2017/11/14 14:35,62385
2017/11/14 14:34,114894
2017/11/14 14:33,167347
2017/11/14 14:32,70937
2017/11/14 14:31,120980
2017/11/14 14:30,75827
2017/11/14 14:39,149029
2017/11/14 14:38,66057
2017/11/26 20:55,9
2017/11/26 20:54,0
2017/11/26 20:57,5
2017/11/26 20:51,16
2017/11/26 20:50,0
2017/11/26 20:52,0
2017/11/26 20:59,0
2017/11/24 10:38,41
2017/11/24 10:39,57
2017/11/24 10:32,30
2017/11/24 10:33,17
2017/11/24 10:30,4
2017/11/24 10:31,39
2017/11/24 10:36,12
2017/11/24 10:37,13
2017/11/24 10:34,11
2017/11/24 10:35,13
2017/11/29 14:28,31858
2017/11/29 14:29,166151
2017/11/29 14:20,169794
2017/11/29 14:21,78298
2017/11/29 14:22,47748
2017/11/29 14:23,72155
2017/11/29 14:24,101460
2017/11/29 14:25,47731
2017/11/29 14:26,101454
2017/11/29 14:27,62364
2017/11/23 12:19,183217
2017/11/23 12:18,111206
2017/11/23 12:11,161375
2017/11/23 12:10,123514
2017/11/23 12:13,119760
2017/11/23 12:12,331019
2017/11/23 12:15,172308
2017/11/23 12:14,150336
2017/11/23 12:17,158928
2017/11/23 12:16,163808
2017/11/6 18:38,51354
2017/11/6 18:39,124
2017/11/6 18:36,33033
2017/11/6 18:37,149024
2017/11/6 18:34,11073
