month,smtp,ssh,ftp,tds,mysql,mongodb,postgresql,sftp,http
2017/11/1 2:00,0.03 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2017/11/1 7:00,0.00 ,934.73 ,57.27 ,200.30 ,0.00 ,0.00 ,457.80 ,0.01 ,0.00 
2017/11/1 8:00,0.00 ,6285.54 ,1802.64 ,1116.06 ,1058.77 ,772.66 ,1716.84 ,2432.17 ,0.00 
2017/11/1 9:00,0.02 ,16805.63 ,4091.84 ,3176.22 ,4807.12 ,4721.19 ,4320.72 ,6724.05 ,129.79 
2017/11/1 10:00,0.11 ,1468.87 ,114.46 ,429.25 ,343.38 ,171.76 ,228.90 ,28.64 ,2885.67 
2017/11/1 11:00,0.09 ,36853.84 ,5522.40 ,7582.54 ,6867.27 ,8812.98 ,7725.57 ,6524.01 ,11347.29 
2017/11/1 12:00,0.04 ,15680.20 ,3948.66 ,3519.50 ,3862.87 ,4005.92 ,2861.43 ,1115.96 ,8612.56 
2017/11/1 13:00,0.01 ,4129.94 ,1001.44 ,600.88 ,1745.33 ,1258.93 ,1316.19 ,1230.36 ,4125.93 
2017/11/1 14:00,0.03 ,17997.61 ,3319.23 ,3862.78 ,5894.29 ,4463.55 ,4234.71 ,3347.80 ,7313.16 
2017/11/1 15:00,0.03 ,16834.07 ,5436.58 ,6008.69 ,4349.28 ,4034.51 ,4063.08 ,3891.44 ,6599.48 
2017/11/1 16:00,0.04 ,15651.47 ,6466.55 ,4177.63 ,3347.79 ,3719.77 ,2546.65 ,2403.53 ,6628.23 
2017/11/1 17:00,0.04 ,14306.90 ,4549.56 ,2861.53 ,4406.51 ,1344.97 ,4263.35 ,3548.17 ,6509.87 
2017/11/1 18:00,0.03 ,12351.67 ,3176.10 ,2890.06 ,4978.63 ,3347.81 ,2432.21 ,2861.38 ,5804.98 
2017/11/1 19:00,0.01 ,7849.77 ,2117.45 ,1344.88 ,1917.08 ,2489.44 ,1888.56 ,1087.37 ,2790.73 
2017/11/1 20:00,0.01 ,2832.80 ,486.46 ,1373.41 ,200.34 ,343.38 ,200.30 ,658.16 ,1152.23 
2017/11/1 21:00,0.00 ,1468.79 ,371.99 ,457.81 ,228.91 ,143.12 ,1258.91 ,0.02 ,293.81 
2017/11/1 22:00,0.00 ,200.29 ,0.00 ,0.02 ,0.00 ,0.00 ,28.63 ,0.00 ,76.28 
2017/11/2 2:00,0.03 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2017/11/2 3:00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2017/11/2 4:00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2017/11/2 7:00,0.00 ,734.41 ,114.45 ,772.54 ,143.09 ,314.73 ,0.00 ,257.52 ,0.00 
2017/11/2 8:00,0.00 ,7258.26 ,1316.38 ,1201.87 ,972.95 ,1774.06 ,2689.67 ,2918.50 ,0.00 
2017/11/2 9:00,0.02 ,19466.81 ,3119.06 ,4549.61 ,4520.97 ,3061.82 ,4606.90 ,3891.54 ,258.75 
2017/11/2 10:00,0.11 ,1020.56 ,85.88 ,85.86 ,429.19 ,171.69 ,0.02 ,57.25 ,2832.59 
2017/11/2 11:00,0.08 ,27164.10 ,5551.25 ,7782.88 ,7668.39 ,7382.30 ,6838.64 ,9470.96 ,11522.03 
2017/11/2 12:00,0.04 ,15441.57 ,3433.68 ,3862.90 ,3033.11 ,4521.09 ,4692.65 ,1917.23 ,9101.39 
2017/11/2 13:00,0.01 ,5388.77 ,1087.33 ,600.89 ,1087.28 ,1030.05 ,1230.40 ,1487.91 ,4146.54 
2017/11/2 14:00,0.04 ,17024.91 ,4520.85 ,3691.13 ,3290.46 ,3376.35 ,2518.11 ,3376.44 ,6470.38 
2017/11/2 15:00,0.03 ,16099.74 ,3633.92 ,2661.12 ,3433.75 ,3948.66 ,5722.66 ,3548.25 ,5739.90 
2017/11/2 16:00,0.03 ,14230.45 ,3576.59 ,3633.99 ,3004.60 ,4206.13 ,4663.90 ,2890.07 ,6116.47 
2017/11/2 17:00,0.03 ,16347.77 ,3405.02 ,1774.07 ,3462.29 ,3834.30 ,3433.80 ,4749.77 ,6610.99 
2017/11/2 18:00,0.02 ,12761.54 ,1030.22 ,2890.03 ,2317.76 ,3233.30 ,3405.04 ,1917.17 ,5215.05 
2017/11/2 19:00,0.01 ,6714.61 ,1201.78 ,2174.56 ,1888.51 ,829.84 ,2088.76 ,1287.71 ,2918.76 
2017/11/2 20:00,0.01 ,2184.19 ,858.44 ,314.79 ,629.53 ,743.96 ,200.31 ,200.34 ,1293.30 
2017/11/2 21:00,0.00 ,2308.15 ,343.38 ,400.58 ,0.01 ,715.30 ,314.79 ,658.09 ,345.58 
2017/11/2 22:00,0.00 ,38.15 ,0.00 ,0.00 ,85.84 ,0.00 ,0.01 ,200.28 ,58.78 
2017/11/3 2:00,0.03 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2017/11/3 3:00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2017/11/3 4:00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2017/11/3 7:00,0.00 ,1068.25 ,200.30 ,57.24 ,314.74 ,0.02 ,629.46 ,228.92 ,0.00 
2017/11/3 8:00,0.00 ,8221.54 ,1316.33 ,2317.69 ,1945.73 ,1688.23 ,1258.97 ,1831.35 ,0.00 
2017/11/3 9:00,0.02 ,19952.92 ,3262.13 ,4320.72 ,3977.30 ,3519.57 ,3948.69 ,6352.22 ,241.55 
2017/11/3 10:00,0.11 ,1259.04 ,85.87 ,114.50 ,228.90 ,343.35 ,629.51 ,429.19 ,2695.57 
2017/11/3 11:00,0.09 ,28727.96 ,5636.97 ,6266.31 ,8069.03 ,8269.34 ,7926.06 ,6867.15 ,10857.51 
2017/11/3 12:00,0.04 ,16290.67 ,3719.79 ,5150.37 ,3147.67 ,4749.70 ,4091.71 ,2661.18 ,9155.00 
2017/11/3 13:00,0.01 ,3815.07 ,858.38 ,915.63 ,85.89 ,1058.65 ,114.48 ,1087.23 ,4007.35 
2017/11/3 14:00,0.04 ,15460.74 ,4692.50 ,1802.72 ,3748.35 ,3462.25 ,3691.07 ,4005.87 ,7080.03 
2017/11/3 15:00,0.03 ,15870.82 ,3147.41 ,2975.83 ,4263.28 ,3576.70 ,4406.42 ,3776.93 ,5913.02 
2017/11/3 16:00,0.03 ,16109.31 ,1287.73 ,3777.02 ,4263.41 ,3319.23 ,3090.29 ,4005.93 ,6414.69 
2017/11/3 17:00,0.03 ,12904.89 ,3691.17 ,2375.02 ,5064.67 ,4520.97 ,4692.58 ,2146.14 ,6381.45 
2017/11/3 18:00,0.02 ,13238.44 ,1488.06 ,3462.23 ,2203.39 ,3090.28 ,2775.62 ,3376.38 ,5811.70 
2017/11/3 19:00,0.01 ,9671.18 ,4005.75 ,1659.64 ,1745.45 ,1259.10 ,2460.78 ,1573.75 ,3531.71 
2017/11/3 20:00,0.01 ,4482.83 ,1173.17 ,314.81 ,1173.16 ,1173.14 ,629.49 ,1115.89 ,1375.85 
2017/11/3 21:00,0.00 ,2012.47 ,200.33 ,85.86 ,85.87 ,858.38 ,0.01 ,143.10 ,517.45 
2017/11/3 22:00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,103.40 
